Imdb_id,Genre,Title,Description,Director,Release_date,Release_Year,Revenue,Runtime,Ratings,Votes
tt3522806,"Action,Adventure,Crime",Mechanic: Resurrection,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",Dennis Gansel,2016-08-25,2016,7.34648175E7,98.5,5.449999999999999,24698.5
tt3991412,"Mystery,Thriller",The 9th Life of Louis Drax,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,Alexandre Aja,2016-09-01,2016,0,108.0,6.4,3151.5
tt2404435,"Action,Adventure,Western",The Magnificent Seven,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,Antoine Fuqua,2016-09-14,2016,1.27870318E8,132.0,6.4,62605.5
tt4975722,Drama,Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",Barry Jenkins,2016-10-21,2016,4.64483435E7,111.0,7.4,68463.0
tt2461150,"Action,Comedy,Crime",Masterminds,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,Jared Hess,2016-09-29,2016,2.328E7,94.5,5.699999999999999,13554.0
tt4265508,Comedy,Amateur Night,"Guy Carter, an insecure expectant father unable to find work in his field, accepts a job driving hookers around Los Angeles. One long and crazy evening proves to our hero that he is, in fact, up to the task of fatherhood.",Lisa Addario,2016-08-12,2016,0,90.5,5.3,1134.0
tt4302938,"Animation,Adventure,Family",Kubo and the Two Strings,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",Travis Knight,2016-08-18,2016,5.89747725E7,101.5,7.800000000000001,36880.0
tt1473832,"Comedy,Romance",Bridget Jones's Baby,"Breaking up with Mark Darcy leaves Bridget Jones over 40 and single again. Feeling that she has everything under control, Jones decides to focus on her career as a top news producer. Suddenly, her love life comes back from the dead when she meets a dashing and handsome American named Jack. Things couldn't be better, until Bridget discovers that she is pregnant. Now, the befuddled mom-to-be must figure out if the proud papa is Mark or Jack.",Sharon Maguire,2016-09-14,2016,1.1802121E8,120.5,6.5,22029.0
tt2547584,"Drama,Romance",The Light Between Oceans,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.,Derek Cianfrance,2016-09-02,2016,1.92430565E7,133.0,7.050000000000001,13892.5
tt4520364,"Horror,Sci-Fi,Thriller",Morgan,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,Luke Scott,2016-09-01,2016,6360295.5,92.0,5.75,11271.5
tt4341582,"Biography,Drama,Sport",Queen of Katwe,A young girl overcomes her disadvantaged upbringing in the slums of Uganda to become a Chess master.,Mira Nair,2016-09-23,2016,9588580.5,124.0,7.25,3428.0
tt1860357,"Action,Drama,Thriller",Deepwater Horizon,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",Peter Berg,2016-09-29,2016,9.15351865E7,107.0,6.85,45663.5
tt1935859,"Adventure,Drama,Family",Miss Peregrine's Home for Peculiar Children,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,Tim Burton,2016-09-28,2016,1.918628595E8,127.0,6.6,52135.5
tt3631112,"Crime,Drama,Mystery",The Girl on the Train,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",Tate Taylor,2016-10-05,2016,1.242479295E8,112.0,6.35,52007.0
tt2140479,"Action,Crime,Drama",The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Gavin O'Connor,2016-10-14,2016,1.206800225E8,128.0,7.15,82121.5
tt2392830,"Biography,Drama",A Quiet Passion,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",Terence Davies,2016-10-07,2016,1472133.0,125.0,7.35,525.0
tt3503406,"Crime,Drama,Mystery",The Whole Truth,A defense attorney works to get his teenage client acquitted of murdering his wealthy father.,Courtney Hunt,2016-03-25,2016,0,93.0,6.199999999999999,5451.0
tt3721936,Drama,American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",Andrea Arnold,2016-09-30,2016,1205665.0,162.5,6.75,9936.5
tt4781612,"Crime,Drama,Thriller",Imperium,"Nate Foster, a young, idealistic FBI agent, goes undercover to take down a radical white supremacy terrorist group. The bright up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy. Inspired by real events.",Daniel Ragussis,2016-08-19,2016,35000,109.0,6.4,13904.5
tt1781827,"Action,Biography,Drama",Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,Jonathan Jakubowicz,2016-08-26,2016,2355000.0,108.0,6.3,4554.0
tt2119532,"Biography,Drama,History",Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Mel Gibson,2016-10-07,2016,1.21211177E8,139.5,8.0,107527.0
tt2032572,"Action,Drama,History",USS Indianapolis: Men of Courage,"The harrowing true story of the crew of the USS Indianapolis, who were stranded in the Philippine Sea for five days after delivering the atomic weapons that would eventually end WWII. As they awaited rescue, they endured extreme thirst, hunger, and relentless shark attacks.",Mario Van Peebles,2016-09-22,2016,0,128.0,5.6,2544.0
tt2513074,"Drama,War",Billy Lynn's Long Halftime Walk,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.,Ang Lee,2016-11-10,2016,1.6325492E7,113.0,6.1,6051.0
tt1540011,"Horror,Thriller",Blair Witch,Students on a camping trip discover something sinister is lurking beyond the trees.,Adam Wingard,2016-09-15,2016,3.2961497E7,89.5,5.0,13339.0
tt4687464,Thriller,Transpecos,"For three US Border Patrol agents, the contents of one car reveal an insidious plot within their own ranks. The next 24 hours may cost them their lives.",Greg Kwedar,2016-09-09,2016,0,86.0,5.949999999999999,654.0
tt3714720,"Comedy,Drama,Romance",The Hollars,"Aspiring New York City artist, John Hollar returns to his Middle America hometown on the eve of his mother’s brain surgery. Joined by his girlfriend, eight months pregnant with their first child, John is forced to navigate the crazy world he left behind.",John Krasinski,2016-08-25,2016,1018492.5,96.5,6.45,2994.5
tt3082898,Action,Kickboxer: Vengeance,"Eric and Kurt Sloane are the descendants of a well-known Venice, California-based family of martial artists.  Kurt, the younger of the two,  has always been in his brother Eric’s shadow, and despite his talent has been told he lacks the instinct needed to become a champion.  But when Kurt witnesses the merciless murder of his brother at the hands of Muay Thai champion Tong Po, he vows revenge.  He trains with his brother’s mentor for a fight to the death with Tong Po. At first it seems impossible to turn Kurt into the living weapon he must become to beat Tong Po, but through a series of tests and dangerous encounters, Kurt proves he has a deeper strength that will carry him through to his final showdown with Tong Po.",John Stockwell,2016-07-14,2016,6.578E7,90.0,4.7,3456.0
tt4669986,"Biography,Drama,Romance",Loving,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court.",Jeff Nichols,2016-11-04,2016,8348401.0,123.0,6.8,8708.0
tt4666726,"Biography,Drama",Christine,"Christine is an ambitious 29-year-old news reporter, in Sarasota, FL, circa 1974. Relentlessly motivated to succeed, she knows she has talent, but being a driven career woman in the 1970s comes with its own challenges, especially when competition for a promotion, unrequited love for a coworker and a tumultuous home life lead to a dissolution of self. With ratings in the cellar, the station manager issues a mandate to deliver juicier and more exploitative stories, a story firmly at odds with Christine’s serious brand of issue-based journalism. To accomplish her goals, she must overcome her self-doubt and give the people what they want.",Antonio Campos,2016-10-14,2016,150000.0,121.0,6.95,2968.0
tt3835080,"Horror,Thriller",31,ROB ZOMBIE'S  S P O O K  H A U S 31,Rob Zombie,2016-09-15,2016,779910.0,102.0,5.0,5532.0
tt2679552,"Crime,Drama,Mystery",I.T.,"Mike Regan is a successful, self-made crook who has it all: a gorgeous and disloyal wife, a spoilt and selfish teenage daughter and a sleek, state-of-the-art “smart home”. But he soon finds himself in a deadly, high-stakes game of cat-and-mouse when his I.T. hacker, Ed, starts using his skills to stalk Mike’s daughter and endanger his family, his business, and his life. In a world where there is no privacy, and personal secrets can go viral by the click of a mouse, Mike needs to pay off some old connections to get rid of the insolent pest.",John Moore,2016-09-09,2016,0,95.5,5.35,4476.5
tt3330764,"Crime,Horror,Thriller",The Neighbor,"In the town of Cutter, most people keep to themselves. But when John comes home to find his girlfriend missing, he sneaks into his neighbor's house, finding his girlfriend and several other kidnapped people tied up in the basement. When the neighbor come home, John is forced to get out of the house alive and lead the group to safety.",Marcus Dunstan,2016-08-19,2016,0,87.0,5.699999999999999,2415.0
tt3416532,"Drama,Fantasy",A Monster Calls,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,J.A. Bayona,2016-10-07,2016,2.5191384E7,108.0,7.15,20078.5
tt2543164,"Drama,Mystery,Sci-Fi",Arrival,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",Denis Villeneuve,2016-11-10,2016,1.51944093E8,114.5,7.6,173263.5
tt4624424,"Animation,Adventure,Comedy",Storks,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...",Nicholas Stoller,2016-09-22,2016,1.27519639E8,87.0,6.800000000000001,17477.0
tt4547056,"Drama,Horror,Thriller",The Girl with All the Gifts,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl.,Colm McCarthy,2016-09-23,2016,0,110.5,6.550000000000001,12083.0
tt2321405,"Animation,Comedy,Drama",Ma vie de courgette,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own.",Claude Barras,2016-10-12,2016,291139.5,66.0,7.75,2292.5
tt4254584,Adventure,Kicks,"When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers.",Justin Tipping,2016-09-09,2016,75000.0,80.0,6.8,1218.0
tt3783958,"Comedy,Drama,Music",La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Damien Chazelle,2016-11-29,2016,2.9824785E8,128.0,8.100000000000001,131713.5
tt3922798,"Action,Drama,Thriller",The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during in the early 1960s.,Richie Smyth,2016-09-19,2016,0,108.0,7.3,7427.0
